,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,th_ts_2_rel,th_d_ts_2_rel
64,0.63,0.0,0.0,0.0,0.0,-0.2099704714811999,-0.18966256773440154,0.11529342392134048,-0.9128506997063908,-1.5651841314959651,-1.4862744715381215,0.0789096599578436,0.02030790374679836
65,0.64,0.0,0.0,0.0,0.0,-0.20875087791968117,-0.19882396561908264,0.1285804776674164,-0.9192215953810688,-1.5672778489597983,-1.4882168511332297,0.07906099782656861,0.009926912300598528
66,0.65,0.0,0.0,0.0,0.0,-0.20739977818420724,-0.20804281202058517,0.14159269086375292,-0.9243363563253045,-1.5693587106671125,-1.4902511424163087,0.07910756825080378,-0.0006430338363779264
67,0.66,0.0,0.0,0.0,0.0,-0.2059199790450785,-0.2173064272056524,0.15431845870786737,-0.928171610326108,-1.5714254154933234,-1.4923778566685983,0.07904755882472503,-0.011386448160573909
68,0.67,0.0,0.0,0.0,0.0,-0.2043144012581963,-0.22660190691521634,0.16674659061302716,-0.9307058289315938,-1.5734766909549283,-1.4945973772360135,0.07887931371891475,-0.022287505657020035
69,0.68,0.0,0.0,0.0,0.0,-0.20258607537079495,-0.23591614093418029,0.1788663206493162,-0.9319193536130865,-1.5755112943284788,-1.4969099573765172,0.07860133695196159,-0.03333006556338533
70,0.6900000000000001,0.0,0.0,0.0,0.0,-0.20073813742208507,-0.24523583191503337,0.19066731813101198,-0.9317944204069186,-1.5775280137270857,-1.4993157182944736,0.0782122954326121,-0.0444976944929483
71,0.7000000000000001,0.0,0.0,0.0,0.0,-0.19877382453703962,-0.2545475144411956,0.20213969840972026,-0.930315183253725,-1.579525669133397,-1.5018146473644454,0.07771102176895162,-0.05577368990415599
72,0.71,0.0,0.0,0.0,0.0,-0.19669647041101182,-0.2638375743180841,0.21327403392206892,-0.927467736234923,-1.5815031133879707,-1.5044065965467734,0.07709651684119724,-0.06714110390707226
73,0.72,0.0,0.0,0.0,0.0,-0.1945095006824443,-0.2730922680817801,0.22406136552882897,-0.9232401348838691,-1.5834592331319373,-1.5070912809971628,0.07636795213477443,-0.07858276739933581
74,0.73,0.0,0.0,0.0,0.0,-0.1922164281906253,-0.2822977427168228,0.23449321416924004,-0.917622416723015,-1.585392949702816,-1.5098682778724068,0.07552467183040923,-0.0900813145261975
75,0.74,0.0,0.0,0.0,0.0,-0.1898208481152788,-0.291440055576025,0.2445615928402542,-0.9106066211487339,-1.5873032199823214,-1.512737025334305,0.07456619464801628,-0.10161920746074618
