,t_ts,tau_fb_ts_1,tau_fb_ts_2,tau_ts_1,tau_ts_2,th_d_ts_1,th_d_ts_2,th_dd_ts_1,th_dd_ts_2,th_ts_1,th_ts_2,ref_th_d_1,ref_th_d_2,ref_th_1,ref_th_2,th_ts_2_rel,th_d_ts_2_rel
1,0.0,0.5576767188916087,-3.1142862740290767,71.31530554418111,25.448193687101046,0.6776478015214417,0.6862113726356455,-0.059691463373217735,-0.09678601376383594,1.2367387592857877,-0.24329012218245213,0.6827132287599091,0.6629738239579552,1.2367643262833101,-0.24340654952613638,-1.4800288814682399,0.008563571114203805
2,0.01,1.1941606776916358,-5.7785426015816155,70.55361992112442,22.82980571772924,0.6772403800236649,0.6851397940472785,-0.031379301351734744,-0.8639375382797214,1.2435128842313286,-0.23643319523241416,0.6871663004199471,0.6476973009506609,1.2436136685503603,-0.23685326153952824,-1.4799460794637427,0.007899414023613605
3,0.02,1.9028453459847494,-7.946473041793157,69.85169281113822,20.705491217607758,0.677124835323373,0.676400916771549,-0.0017800273187612715,-1.4889769345937012,1.2502843797930216,-0.22962532786385678,0.6916835597168929,0.6325045667564538,1.250507866246338,-0.23045232421100614,-1.4799097076568783,-0.0007239185518239655
4,0.03,2.677467933632738,-9.612661834386083,69.20313763437265,19.080753570914574,0.6773121355846972,0.6614170077089848,0.028513026003358546,-1.9700772612839985,1.257056222801147,-0.2229360835998465,0.6962604975765675,0.6174008652508175,1.25744753866837,-0.22420287342731493,-1.4799923064009937,-0.015895127875712345
5,0.04,3.5121311220273954,-10.802391900593644,68.6019437610282,17.93039550556124,0.6778071518943485,0.6416284314607548,0.05902263554727573,-2.3142422696200686,1.2638314695182522,-0.2164207125139328,0.7008926487463394,0.6023914272277207,1.2644332602366664,-0.21810399269156422,-1.480252182032185,-0.036178720433593714
6,0.05,4.401268165563166,-11.562256986159392,68.04244171136993,17.20790691467373,0.6786101068592438,0.6184053176197246,0.08940710659824241,-2.5346230184097625,1.2706132014428304,-0.2101204118781819,0.7055755980859906,0.5874814581587208,1.2714655609642747,-0.2121547133154298,-1.4807336133210123,-0.06020478923951922
7,0.06,5.339568861653332,-11.951922257961012,67.51922920799669,16.853704228752733,0.6797181134241721,0.5929860834446008,0.1194589766306643,-2.6481580975857426,1.2774044862240597,-0.20406333589661033,0.7103049867384811,0.5726761262007243,1.2785449269891709,-0.20635401473257042,-1.48146782212067,-0.0867320299795713
8,0.07,6.321886583459002,-12.037234339105074,67.02707827445296,16.802020353690928,0.6811266041373937,0.5664395726729918,0.14908712942155714,-2.673596019284938,1.2842083535762834,-0.1982661021608695,0.715076518150935,0.5579805505088596,1.2856718011673358,-0.20070082493048602,-1.482474455737153,-0.11468703146440185
9,0.08,7.343144610863661,-11.884750375794972,66.56084161569851,16.986375581351414,0.682830505594376,0.5396469834637624,0.1782886806013051,-2.6299212547797155,1.2910277843358942,-0.19273557779280504,0.719885963917524,0.5433997899083407,1.2928465837251686,-0.1951940209974996,-1.4837633621286992,-0.14318352213061358
10,0.09,8.398255424369127,-11.557650909461382,66.11537194515604,17.343664699206997,0.6848250808702803,0.51329954291189,0.20711711569330768,-2.535175474824489,1.297865709684503,-0.18747076758524395,0.7247291694174672,0.5289388319762042,1.3000696329693282,-0.1898324297810059,-1.485336477269747,-0.17152553795839032
11,0.1,9.482061208881909,-11.112924396794115,65.68546250541512,17.81697245637295,0.687106425976505,0.48790797049274653,0.2356519676362984,-2.405643272824479,1.30472501710972,-0.18246466645432338,0.7296020592231598,0.5146025825803927,1.3073412660518282,-0.18461482865266188,-1.4871896835640435,-0.19919845548375842
12,0.11,10.589298797924807,-10.599660983423275,65.26581201330045,18.357279780240177,0.6896716543642003,0.46382008131606745,0.26397355430659347,-2.2553568263353325,1.311608559783559,-0.1777059765527674,0.7345006422553881,0.5003958559198813,1.314661759787962,-0.17953994637570725,-1.4893145363363263,-0.22585157304813286
13,0.12,11.714588370640966,-10.058266510386327,64.85101334190236,18.92424976450998,0.6925188327490808,0.44124333715906866,0.2921445120657245,-2.095865849054548,1.3185191665348928,-0.17318062360202532,0.7394210166647197,0.4863233651055276,1.3220313515244313,-0.1746064640692211,-1.4916997901369182,-0.2512754955900121
14,0.13,12.852442630120942,-9.520400485850617,64.43556266839194,19.486289696083425,0.6956467433493072,0.4202696912779717,0.3201983927447711,-1.9362167003078914,1.3254596502933342,-0.16887303623389074,0.7443593744204008,0.47238971331698587,1.32945024005484,-0.16981301626370637,-1.494332686527225,-0.2753770520713355
15,0.14,13.997291860826389,-9.009449218141519,64.01388448574042,20.02007792466204,0.6990545459431247,0.40090063552785565,0.34813457847280566,-1.7830863709592515,1.3324328136314973,-0.16476717586151113,0.7493120055904668,0.4585993855665578,1.3369185865795434,-0.1651581920421039,-1.4971999894930086,-0.298153910415269
16,0.15,15.14351993002252,-8.541362934019531,63.58036754365363,20.5097267510093,0.702741402745614,0.38307090189073595,0.37591821132330944,-1.641021961138297,1.3394414507193664,-0.16084732279774785,0.7542753022992028,0.4449567410961972,1.3444365157066982,-0.1606405362600194,-1.5002887735171142,-0.3196705008548781
17,0.16,16.28550664972005,-8.125709460456514,63.12940713566982,20.94572875550236,0.7067061144049572,0.36666976470991197,0.4034836518996112,-1.5127430280401117,1.3464883455636454,-0.1570986373473848,0.7592457623505724,0.4314660064291748,1.3520041164912247,-0.1562585508387162,-1.5035869829110302,-0.34003634969504526
18,0.17,17.41767265701456,-7.766823604625745,62.655449890802075,21.323807432126276,0.7109467998784615,0.35155931619255537,0.43074005994648407,-1.3994718236233372,1.353576266811302,-0.15350752300542297,0.7642199925087537,0.4181312690931428,1.3596214435082947,-0.152010696124258,-1.507083789816725,-0.3593874836859062
19,0.18,18.53452386630876,-7.464958176979552,62.153038123744246,21.643766182893174,0.7154606388513425,0.33758943740358566,0.4575779201714856,-1.3012641963179812,1.3607079596536342,-0.1500618234195154,0.7691947114294173,0.4049564720266177,1.3672885179578849,-0.14789539230600246,-1.5107697830731497,-0.3778712014477568
20,0.19,19.63069343296077,-7.217367857648038,61.61685168375571,21.90840447229863,0.7202436839245505,0.3246094590076492,0.48387562770347126,-1.2173212510935545,1.3678861354960563,-0.14675088619181278,0.7741667522378403,0.3919454086762148,1.3750053287968722,-0.14391102088758467,-1.514637021687869,-0.3956342249169013
21,0.2,20.700979947305886,-7.019279642154203,61.041746021772255,22.122547405657272,0.7252907414149345,0.31247670483529943,0.5095055373084516,-1.146268396101574,1.3751134600883692,-0.14356552565842948,0.7791330647523818,0.3791017187874633,1.3827718338951498,-0.14005592620346174,-1.5186789857467986,-0.4128140365796351
22,0.21,21.7403812060193,-6.86472277916158,60.42278582334561,22.29221581843096,0.7305953141276917,0.30106224485912436,0.5343391319224932,-1.086393959111099,1.38239254077051,-0.14049791418608598,0.7840907173541541,0.3664288848875795,1.3905879612121965,-0.13632841697407994,-1.522890454956596,-0.4295330692685674
23,0.22,22.744123376416415,-6.747206694926228,59.755274023660135,22.423948381700967,0.7361495964231004,0.2902542621704718,0.5582511632241433,-1.0358440632505455,1.3897259134065247,-0.13754142786933535,0.7890368985059774,0.35393022945445013,1.398453609990589,-0.13272676789278925,-1.5272673412758602,-0.4458953342526286
24,0.23,23.707685691691402,-6.660247442806977,59.03477634330027,22.524275185248523,0.7419445107398549,0.2799594715349816,0.5811227579547268,-0.9927739272545852,1.3971160294764247,-0.13469046830074521,0.7939689179257932,0.34160891276209215,1.4063686519629734,-0.12924922123765858,-1.53180649777717,-0.4619850392048733
25,0.24,24.626821015198743,-6.597751978400651,58.25714168356217,22.599333497491173,0.7479697748981021,0.27010302537373154,0.6028435747790494,-0.9554582779023404,1.4045652436876477,-0.13194027771915265,0.7988842074217164,0.3294679313891689,1.4143329325690663,-0.12589398850152556,-1.5365055214068004,-0.4778667495243706
26,0.25,25.497572716372574,-6.554275420841455,57.41851882459838,22.654610541547562,0.7542139905045341,0.260627316088399,0.6233131475069532,-0.9223652444340896,1.4120758023658335,-0.12928676061719951,0.8037803213977115,0.31751011737376067,1.422346272179361,-0.12265925203370198,-1.541362562983033,-0.4935866744161351
27,0.26,26.316288334766735,-6.525169863583513,56.515369903584755,22.6947947239218,0.7606647442390941,0.2514900399182331,0.6424415718565661,-0.892199077558337,1.4196498327949671,-0.1267263210187723,0.8086549370405689,0.3057381379944573,1.4304084673222768,-0.11954316668699194,-1.5463761538137395,-0.509174704320861
28,0.27,27.07963049380977,-6.506644708392296,55.54448113520401,22.72371534189155,0.7673087154387522,0.24266183406981967,0.6601496938982129,-0.86391743508468,1.427289333602817,-0.12425572125229295,0.813505854200352,0.29415449615511846,1.4385192919116419,-0.11654386146384921,-1.55154505485511,-0.5246468813689326
29,0.28,27.78458547948007,-6.49575836786963,54.50297119035419,22.744350924085715,0.7741317850171059,0.23412374142723072,0.6763689463173197,-0.8367289339912133,1.434996166229796,-0.12187196521554418,0.8183309949778287,0.2827615313481678,1.4466784984715,-0.11365944115578586,-1.5568681314453403,-0.5400080435898752
30,0.29,28.428469835038584,-6.490359933936929,53.388297584913495,22.75888760663945,0.7811191422477239,0.2258647001441535,0.6910409592569621,-0.8100763060615509,1.442772047477161,-0.11957220686965461,0.8231284030335534,0.27156142116922016,1.4548858193553889,-0.11088798797035704,-1.5623442543468156,-0.5552544421035704
31,0.3,29.008935251424884,-6.488997413715191,52.19826135885215,22.76881094330286,0.7882553872248482,0.21787920204411218,0.7041170497058117,-0.7836099180660624,1.4506185431021419,-0.11735368299372538,0.8278962426342611,0.2605561833540605,1.4631409679573837,-0.10822756314036797,-1.5679722260958673,-0.5703761851807361
32,0.31,29.523971961553265,-6.49080670490525,50.931010254601276,22.775016977218456,0.7955246278653237,0.21016521614401737,0.7155576698919427,-0.7571557182058173,1.458537062410965,-0.11521366803037199,0.8326327974530405,0.24974767830756742,1.4714436399123558,-0.10567620851022541,-1.573750730441337,-0.5853594117213063
33,0.32,29.971910780936227,-6.4953928762278235,49.58504053776073,22.777931008630773,0.8029105711244356,0.2027224330003746,0.7253318727185761,-0.730680921598387,1.4665288537934076,-0.11314944809238674,0.8373364691404022,0.2391376120930972,1.4797935142830774,-0.10323194809466862,-1.5796783018857943,-0.600188138124061
